Date	Time (AKST)	Discharge (cms)
6/15/15	21:15	11.09
6/15/15	21:30	10.54
6/15/15	21:45	10.98
6/15/15	22:00	11.11
6/15/15	22:15	11.01
6/15/15	22:30	11.38
6/15/15	22:45	11.26
6/15/15	23:00	11.21
6/15/15	23:15	11.14
6/15/15	23:30	10.90
6/15/15	23:45	11.07
6/16/15	0:00	11.01
6/16/15	0:15	11.22
6/16/15	0:30	10.94
6/16/15	0:45	10.91
6/16/15	1:00	11.05
6/16/15	1:15	11.02
6/16/15	1:30	10.48
6/16/15	1:45	10.61
6/16/15	2:00	10.46
6/16/15	2:15	10.40
6/16/15	2:30	10.47
6/16/15	2:45	10.19
6/16/15	3:00	10.42
6/16/15	3:15	10.13
6/16/15	3:30	10.12
6/16/15	3:45	9.91
6/16/15	4:00	10.05
6/16/15	4:15	9.83
6/16/15	4:30	9.94
6/16/15	4:45	9.69
6/16/15	5:00	9.24
6/16/15	5:15	9.35
6/16/15	5:30	9.19
6/16/15	5:45	9.45
6/16/15	6:00	9.39
6/16/15	6:15	9.32
6/16/15	6:30	9.06
6/16/15	6:45	8.92
6/16/15	7:00	8.83
6/16/15	7:15	8.91
6/16/15	7:30	8.61
6/16/15	7:45	8.47
6/16/15	8:00	8.63
6/16/15	8:15	8.51
6/16/15	8:30	8.75
6/16/15	8:45	8.14
6/16/15	9:00	8.54
6/16/15	9:15	8.34
6/16/15	9:30	8.39
6/16/15	9:45	8.34
6/16/15	10:00	8.17
6/16/15	10:15	8.00
6/16/15	10:30	8.28
6/16/15	10:45	8.29
6/16/15	11:00	8.40
6/16/15	11:15	8.45
6/16/15	11:30	8.36
6/16/15	11:45	8.38
6/16/15	12:00	8.38
6/16/15	12:15	8.35
6/16/15	12:30	8.36
6/16/15	12:45	8.31
6/16/15	13:00	8.32
6/16/15	13:15	8.35
6/16/15	13:30	8.36
6/16/15	13:45	8.33
6/16/15	14:00	8.74
6/16/15	14:15	8.80
6/16/15	14:30	8.91
6/16/15	14:45	9.06
6/16/15	15:00	9.12
6/16/15	15:15	9.28
6/16/15	15:30	9.42
6/16/15	15:45	9.73
6/16/15	16:00	9.93
6/16/15	16:15	10.19
6/16/15	16:30	10.38
6/16/15	16:45	10.54
6/16/15	17:00	10.76
6/16/15	17:15	10.86
6/16/15	17:30	11.03
6/16/15	17:45	11.29
6/16/15	18:00	11.55
6/16/15	18:15	11.69
6/16/15	18:30	11.90
6/16/15	18:45	12.05
6/16/15	19:00	12.20
6/16/15	19:15	12.38
6/16/15	19:30	12.45
6/16/15	19:45	12.56
6/16/15	20:00	12.68
6/16/15	20:15	12.67
6/16/15	20:30	12.74
6/16/15	20:45	12.89
6/16/15	21:00	12.76
6/16/15	21:15	12.69
6/16/15	21:30	12.64
6/16/15	21:45	12.65
6/16/15	22:00	12.57
6/16/15	22:15	12.57
6/16/15	22:30	12.59
6/16/15	22:45	12.58
6/16/15	23:00	12.61
6/16/15	23:15	12.54
6/16/15	23:30	12.46
6/16/15	23:45	12.45
6/17/15	0:00	12.35
6/17/15	0:15	12.35
6/17/15	0:30	12.25
6/17/15	0:45	12.09
6/17/15	1:00	12.01
6/17/15	1:15	11.95
6/17/15	1:30	11.87
6/17/15	1:45	11.80
6/17/15	2:00	11.78
6/17/15	2:15	11.63
6/17/15	2:30	11.51
6/17/15	2:45	11.50
6/17/15	3:00	11.49
6/17/15	3:15	11.35
6/17/15	3:30	11.32
6/17/15	3:45	11.28
6/17/15	4:00	11.19
6/17/15	4:15	11.12
6/17/15	4:30	11.03
6/17/15	4:45	10.97
6/17/15	5:00	10.98
6/17/15	5:15	10.92
6/17/15	5:30	10.96
6/17/15	5:45	10.89
6/17/15	6:00	10.79
6/17/15	6:15	10.88
6/17/15	6:30	10.81
6/17/15	6:45	10.78
6/17/15	7:00	10.79
6/17/15	7:15	10.79
6/17/15	7:30	10.76
6/17/15	7:45	10.73
6/17/15	8:00	10.67
6/17/15	8:15	10.69
6/17/15	8:30	10.70
6/17/15	8:45	10.80
6/17/15	9:00	10.77
6/17/15	9:15	10.65
6/17/15	9:30	10.63
6/17/15	9:45	10.60
6/17/15	10:00	10.54
6/17/15	10:15	10.50
6/17/15	10:30	10.57
6/17/15	10:45	10.58
6/17/15	11:00	10.58
6/17/15	11:15	10.67
6/17/15	11:30	10.67
6/17/15	11:45	10.56
6/17/15	12:00	10.71
6/17/15	12:15	10.78
6/17/15	12:30	10.71
6/17/15	12:45	10.77
6/17/15	13:00	10.67
6/17/15	13:15	10.80
6/17/15	13:30	10.81
6/17/15	13:45	10.82
6/17/15	14:00	10.95
6/17/15	14:15	11.13
6/17/15	14:30	11.22
6/17/15	14:45	11.37
6/17/15	15:00	11.47
6/17/15	15:15	11.72
6/17/15	15:30	11.91
6/17/15	15:45	12.02
6/17/15	16:00	12.24
6/17/15	16:15	12.52
6/17/15	16:30	12.57
