Date	Time (AST)	Discharge (cms)
05/01/15	10:17	0.93
05/01/15	10:32	1.17
05/01/15	10:47	1.33
05/01/15	11:02	1.45
05/01/15	11:17	1.42
05/01/15	11:32	1.56
05/01/15	11:47	1.66
05/01/15	12:02	1.66
05/01/15	12:17	1.77
05/01/15	12:32	2.03
05/01/15	12:47	2.19
05/01/15	13:02	2.31
05/01/15	13:17	2.40
05/01/15	13:32	2.54
05/01/15	13:47	2.50
05/01/15	14:02	2.57
05/01/15	14:17	2.68
05/01/15	14:32	2.75
05/01/15	14:47	2.73
05/01/15	15:02	2.71
05/01/15	15:17	2.85
05/01/15	15:32	2.78
05/01/15	15:47	2.68
05/01/15	16:02	2.71
05/01/15	16:17	2.64
05/01/15	16:32	2.68
05/01/15	16:47	2.73
05/01/15	17:02	2.66
05/01/15	17:17	2.64
05/01/15	17:32	2.68
05/01/15	17:47	2.68
05/01/15	18:02	2.66
05/01/15	18:17	2.61
05/01/15	18:32	2.52
05/01/15	18:47	2.45
05/01/15	19:02	2.36
05/01/15	19:17	2.40
05/01/15	19:32	2.38
05/01/15	19:47	2.43
05/01/15	20:02	2.43
05/01/15	20:17	2.40
05/01/15	20:32	2.47
05/01/15	20:47	2.45
05/01/15	21:02	2.40
05/01/15	21:17	2.50
05/01/15	21:32	2.47
05/01/15	21:47	2.38
05/01/15	22:02	2.36
05/01/15	22:17	2.31
05/01/15	22:32	2.31
05/01/15	22:47	2.15
05/01/15	23:02	2.17
05/01/15	23:17	2.10
05/01/15	23:32	1.96
05/01/15	23:47	1.89
05/02/15	0:02	1.70
05/02/15	0:17	1.63
05/02/15	0:32	1.59
05/02/15	0:47	1.49
05/02/15	1:02	1.56
05/02/15	1:17	1.42
05/02/15	1:32	1.31
05/02/15	1:47	1.19
05/02/15	2:02	1.21
05/02/15	2:17	1.19
05/02/15	2:32	1.07
05/02/15	2:47	1.03
05/02/15	3:02	0.89
05/02/15	3:17	0.82
05/02/15	3:32	0.75
05/02/15	3:47	0.63
05/02/15	4:02	0.61
05/02/15	4:17	0.51
05/02/15	4:32	0.49
05/02/15	4:47	0.42
05/02/15	5:02	0.44
05/02/15	5:17	0.37
05/02/15	5:32	0.30
05/02/15	5:47	0.26
05/02/15	6:02	0.26
05/02/15	6:17	0.23
05/02/15	6:32	0.19
05/02/15	6:47	0.16
05/02/15	7:02	0.21
05/02/15	7:17	0.26
05/02/15	7:32	0.35
05/02/15	7:47	0.44
05/02/15	8:02	0.51
05/02/15	8:17	0.58
05/02/15	8:32	0.61
05/02/15	8:47	0.58
05/02/15	9:02	0.61
05/02/15	9:17	0.68
05/02/15	9:32	0.72
05/02/15	9:47	0.89
05/02/15	10:02	1.21
05/02/15	10:17	1.49
05/02/15	10:32	1.59
05/02/15	10:47	1.61
05/02/15	11:02	1.82
05/02/15	11:17	1.89
05/02/15	11:32	2.08
05/02/15	11:47	1.94
05/02/15	12:02	2.05
05/02/15	12:17	2.03
05/02/15	12:32	1.96
05/02/15	12:47	1.94
05/02/15	13:02	2.08
05/02/15	13:17	2.10
05/02/15	13:32	2.19
05/02/15	13:47	2.36
05/02/15	14:02	2.26
05/02/15	14:17	2.40
05/02/15	14:32	2.45
05/02/15	14:47	2.57
05/02/15	15:02	2.54
05/02/15	15:17	2.59
05/02/15	15:32	2.52
05/02/15	15:47	2.54
05/02/15	16:02	2.57
05/02/15	16:17	2.61
05/02/15	16:32	2.64
05/02/15	16:47	2.61
05/02/15	17:02	2.64
05/02/15	17:17	2.78
05/02/15	17:32	2.73
05/02/15	17:47	2.73
05/02/15	18:02	2.89
05/02/15	18:17	2.85
05/02/15	18:32	2.89
05/02/15	18:47	2.78
05/02/15	19:02	2.85
05/02/15	19:17	2.73
05/02/15	19:32	2.61
05/02/15	19:47	2.57
05/02/15	20:02	2.59
05/02/15	20:17	2.66
05/02/15	20:32	2.64
05/02/15	20:47	2.66
05/02/15	21:02	2.61
05/02/15	21:17	2.57
05/02/15	21:32	2.75
05/02/15	21:47	2.82
05/02/15	22:02	2.78
05/02/15	22:17	2.75
05/02/15	22:32	2.78
05/02/15	22:47	2.68
05/02/15	23:02	2.64
05/02/15	23:17	2.54
05/02/15	23:32	2.45
05/02/15	23:47	2.33
05/03/15	0:02	2.26
05/03/15	0:17	2.15
05/03/15	0:32	2.19
05/03/15	0:47	2.10
05/03/15	1:02	2.10
05/03/15	1:17	1.98
05/03/15	1:32	2.01
05/03/15	1:47	2.01
05/03/15	2:02	1.96
05/03/15	2:17	1.96
05/03/15	2:32	1.87
05/03/15	2:47	1.73
05/03/15	3:02	1.70
05/03/15	3:17	1.63
05/03/15	3:32	1.63
05/03/15	3:47	1.54
05/03/15	4:02	1.52
05/03/15	4:17	1.45
05/03/15	4:32	1.28
05/03/15	4:47	1.17
05/03/15	5:02	1.12
05/03/15	5:17	0.98
05/03/15	5:32	0.91
05/03/15	5:47	0.77
05/03/15	6:02	0.68
05/03/15	6:17	0.56
05/03/15	6:32	0.56
05/03/15	6:47	0.56
05/03/15	7:02	0.56
05/03/15	7:17	0.54
05/03/15	7:32	0.63
05/03/15	7:47	0.61
05/03/15	8:02	0.68
05/03/15	8:17	0.70
05/03/15	8:32	0.79
05/03/15	8:47	0.84
05/03/15	9:02	0.86
05/03/15	9:17	1.03
05/03/15	9:32	1.14
05/03/15	9:47	1.24
05/03/15	10:02	1.26
05/03/15	10:17	1.47
05/03/15	10:32	1.56
05/03/15	10:47	1.70
05/03/15	11:02	1.77
05/03/15	11:17	1.75
05/03/15	11:32	1.73
05/03/15	11:47	1.75
05/03/15	12:02	1.89
05/03/15	12:17	1.98
05/03/15	12:32	2.08
05/03/15	12:47	2.12
05/03/15	13:02	2.15
05/03/15	13:17	2.29
05/03/15	13:32	2.33
05/03/15	13:47	2.19
05/03/15	14:02	2.22
05/03/15	14:17	2.24
05/03/15	14:32	2.38
05/03/15	14:47	2.36
05/03/15	15:02	2.43
05/03/15	15:17	2.47
05/03/15	15:32	2.61
05/03/15	15:47	2.68
05/03/15	16:02	2.57
05/03/15	16:17	2.64
05/03/15	16:32	2.64
05/03/15	16:47	2.52
05/03/15	17:02	2.61
05/03/15	17:17	2.64
05/03/15	17:32	2.59
05/03/15	17:47	2.66
05/03/15	18:02	2.78
05/03/15	18:17	2.85
05/03/15	18:32	2.71
05/03/15	18:47	2.73
05/03/15	19:02	2.64
05/03/15	19:17	2.66
05/03/15	19:32	2.68
05/03/15	19:47	2.85
05/03/15	20:02	2.89
05/03/15	20:17	2.87
05/03/15	20:32	2.85
05/03/15	20:47	2.87
05/03/15	21:02	2.75
05/03/15	21:17	2.80
05/03/15	21:32	2.82
05/03/15	21:47	2.78
05/03/15	22:02	2.66
05/03/15	22:17	2.68
05/03/15	22:32	2.64
05/03/15	22:47	2.54
05/03/15	23:02	2.50
