Date,Time_UTC,avgAT_C_1m,avgAT_C_2m,avgRH_1m,avgRH_2m,avgDP_C,totalPPT_mm.hr,sampleSnowDepth_m,sampleWD_Deg,sampleWS_m.s,maxWS_m.s,avgSolarRad_W.m2
2015-01-03,11:00:00,-16.58,-14.69,44.46,37.86,-25.82,7777,0.146,31.15,7777,7777,6999
2015-01-03,12:00:00,-16.58,-13.79,42.86,28.75,-26.32,7777,0.168,10.24,7777,7777,6999
2015-01-03,13:00:00,-14.69,-12.52,32.65,25.89,-27.23,7777,0.159,311.8,7777,7777,6999
2015-01-03,14:00:00,-13.41,-12.44,35.85,27.38,-26.26,7777,0.151,8.35,7777,7777,6999
2015-01-03,15:00:00,-14.67,-13.04,36.45,28.39,-26.55,7777,0.143,170.8,7777,7777,6999
2015-01-03,16:00:00,-15.97,-13.45,43.39,32.61,-26.06,7777,0.168,26.7,3.44,3.96,6999
2015-01-03,17:00:00,-15.14,-12.63,38.46,27.01,-26.01,7777,0.16,64.17,1.35,3.8,6999
2015-01-03,18:00:00,-12.66,-9.93,33.32,20.3,-25.73,7777,0.166,105.8,2.26,2.68,6999
2015-01-03,19:00:00,-13.48,-11.14,35.46,24.72,-25.77,7777,0.161,304.9,2.29,3.16,6999
2015-01-03,20:00:00,-12.99,-10.76,33.32,25.29,-25.85,7777,0.165,119.4,1.55,3.09,6999
2015-01-03,21:00:00,-12.68,-9.84,34.47,24.79,-25.42,7777,0.16,319,0.83,3.72,6999
2015-01-03,22:00:00,-12.2,-10.12,29.34,22.44,-26.62,7777,0.161,318.4,1.6,1.83,6999
2015-01-03,23:00:00,-11.71,-9.95,31.11,26.75,-25.7,7777,0.144,17.57,0,2.33,6999
2015-01-04,00:00:00,-12.01,-9.72,32.5,23.56,-24.83,7777,0.141,352,0.59,3.43,6999
2015-01-04,01:00:00,-11.48,-8.55,30.25,20.6,-25.53,7777,0.164,53.24,2.68,2.74,6999
2015-01-04,02:00:00,-11.89,-9.04,32.26,22.44,-24.81,7777,0.158,39.19,0.41,3.47,6999
2015-01-04,03:00:00,-11.38,-8.99,29.4,21.15,-25.55,7777,0.153,3.77,1.06,1.38,6999
2015-01-04,04:00:00,-10.79,-8.58,28.46,21.21,-26.16,7777,0.153,51.45,2.06,2.23,6999
2015-01-04,05:00:00,-11.69,-8.94,33.28,24.13,-24.36,7777,0.149,42.14,0,2.27,6999
2015-01-04,06:00:00,-10.5,-8.92,32.97,28.08,-23.64,7777,0.152,25.05,0,0.06,6999
2015-01-04,07:00:00,-11.08,-8.8,33.07,25.6,-24.34,7777,0.156,38.18,0.75,2.08,6999
2015-01-04,08:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-04,09:00:00,-11.32,-7.92,30.59,21.21,-25.25,7777,0.149,53.82,1.36,1.36,6999
2015-01-04,10:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-04,11:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-04,12:00:00,-10.74,-9.07,29.1,23.35,-25.63,7777,0.159,115.9,0.34,1.37,6999
2015-01-04,13:00:00,-13.18,-11.31,36.51,30.09,-24.4,7777,0.162,335.4,0.8,2.15,6999
2015-01-04,14:00:00,-11.28,-10.11,35.9,30.8,-23.91,7777,0.147,312.7,1.08,1.34,6999
2015-01-04,15:00:00,-12,-10.67,32.9,28.66,-25.1,7777,0.153,348.4,1.23,1.94,6999
2015-01-04,16:00:00,-13.04,-11.39,37.02,29.41,-24.77,7777,0.156,348.9,0.9,2.11,6999
2015-01-04,17:00:00,-12.13,-10.64,38.65,33.42,-23.53,7777,0.164,330.4,1.06,2.1,6999
2015-01-04,18:00:00,-12.72,-11.15,43.75,37.53,-22.39,7777,0.155,351.6,1.36,2.17,6999
2015-01-04,19:00:00,-12.48,-10.26,44.54,35.8,-22.18,7777,0.166,331,0,1.46,6999
2015-01-04,20:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-04,21:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-04,22:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-04,23:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-05,00:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-05,01:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-05,02:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-05,03:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-05,04:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-05,05:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-05,06:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-05,07:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-05,08:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-05,09:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-05,10:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-05,11:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
