Date,Time UTC-08:00,ST (°C) at 2cm,ST (°C) at 5cm,ST (°C) at 10cm,ST (°C) at 15cm,ST (°C) at 20cm,ST (°C) at 30cm,ST (°C) at 40cm,ST (°C) at 50cm,ST (°C) at 75cm,ST (°C) at 100cm,ST (°C) at 125cm
2016-01-01,00:00:00,-3.427,-3.070,-2.971,-2.797,-2.703,-2.419,-2.428,-2.248,-1.600,-0.880,-0.152
2016-01-01,01:00:00,-3.466,-3.111,-3.008,-2.829,-2.726,-2.421,-2.421,-2.244,-1.593,-0.882,-0.153
2016-01-01,02:00:00,-3.479,-3.135,-3.039,-2.857,-2.745,-2.420,-2.420,-2.229,-1.590,-0.881,-0.153
2016-01-01,03:00:00,-3.502,-3.157,-3.059,-2.875,-2.760,-2.426,-2.416,-2.226,-1.580,-0.880,-0.152
2016-01-01,04:00:00,-3.535,-3.181,-3.082,-2.898,-2.777,-2.440,-2.408,-2.222,-1.578,-0.879,-0.151
2016-01-01,05:00:00,-3.566,-3.210,-3.106,-2.914,-2.790,-2.441,-2.409,-2.210,-1.575,-0.879,-0.152
2016-01-01,06:00:00,-3.612,-3.239,-3.129,-2.934,-2.806,-2.441,-2.409,-2.205,-1.568,-0.881,-0.154
2016-01-01,07:00:00,-3.658,-3.267,-3.155,-2.954,-2.824,-2.454,-2.409,-2.203,-1.557,-0.870,-0.160
2016-01-01,08:00:00,-3.716,-3.308,-3.183,-2.976,-2.835,-2.461,-2.410,-2.195,-1.558,-0.868,-0.158
2016-01-01,09:00:00,-3.754,-3.346,-3.216,-3.000,-2.856,-2.463,-2.409,-2.189,-1.552,-0.862,-0.154
2016-01-01,10:00:00,-3.756,-3.374,-3.242,-3.024,-2.872,-2.478,-2.407,-2.183,-1.544,-0.857,-0.160
2016-01-01,11:00:00,-3.734,-3.377,-3.258,-3.043,-2.888,-2.481,-2.408,-2.180,-1.536,-0.856,-0.166
2016-01-01,12:00:00,-3.732,-3.383,-3.269,-3.057,-2.906,-2.491,-2.415,-2.179,-1.534,-0.854,-0.170
2016-01-01,13:00:00,-3.693,-3.380,-3.276,-3.075,-2.920,-2.499,-2.413,-2.177,-1.529,-0.852,-0.168
2016-01-01,14:00:00,-3.632,-3.359,-3.273,-3.071,-2.923,-2.512,-2.415,-2.174,-1.526,-0.849,-0.165
2016-01-01,15:00:00,-3.604,-3.341,-3.264,-3.073,-2.933,-2.517,-2.421,-2.174,-1.526,-0.849,-0.165
2016-01-01,16:00:00,-3.583,-3.329,-3.260,-3.073,-2.940,-2.517,-2.431,-2.174,-1.526,-0.849,-0.165
2016-01-01,17:00:00,-3.583,-3.326,-3.252,-3.072,-2.939,-2.517,-2.432,-2.174,-1.522,-0.849,-0.165
2016-01-01,18:00:00,-3.644,-3.335,-3.253,-3.075,-2.931,-2.521,-2.431,-2.177,-1.511,-0.851,-0.168
2016-01-01,19:00:00,-3.717,-3.369,-3.268,-3.074,-2.938,-2.520,-2.432,-2.177,-1.507,-0.852,-0.168
2016-01-01,20:00:00,-3.754,-3.395,-3.287,-3.086,-2.944,-2.525,-2.432,-2.174,-1.504,-0.848,-0.165
2016-01-01,21:00:00,-3.788,-3.419,-3.306,-3.099,-2.949,-2.531,-2.431,-2.174,-1.504,-0.847,-0.165
2016-01-01,22:00:00,-3.738,-3.423,-3.321,-3.109,-2.957,-2.534,-2.427,-2.169,-1.499,-0.844,-0.160
2016-01-01,23:00:00,-3.714,-3.407,-3.318,-3.110,-2.961,-2.535,-2.428,-2.170,-1.500,-0.840,-0.162
2016-01-02,00:00:00,-3.822,-3.435,-3.328,-3.114,-2.965,-2.539,-2.432,-2.174,-1.497,-0.835,-0.165
2016-01-02,01:00:00,-3.948,-3.501,-3.360,-3.134,-2.978,-2.539,-2.432,-2.174,-1.494,-0.833,-0.165
2016-01-02,02:00:00,-4.014,-3.556,-3.400,-3.160,-2.992,-2.549,-2.431,-2.174,-1.493,-0.834,-0.165
2016-01-02,03:00:00,-4.030,-3.588,-3.430,-3.188,-3.011,-2.560,-2.431,-2.174,-1.493,-0.832,-0.167
2016-01-02,04:00:00,-4.007,-3.604,-3.456,-3.206,-3.029,-2.560,-2.439,-2.172,-1.491,-0.831,-0.167
2016-01-02,05:00:00,-3.816,-3.558,-3.447,-3.218,-3.037,-2.570,-2.437,-2.163,-1.486,-0.828,-0.177
2016-01-02,06:00:00,-3.631,-3.474,-3.413,-3.213,-3.040,-2.573,-2.441,-2.162,-1.485,-0.834,-0.176
2016-01-02,07:00:00,-3.484,-3.384,-3.362,-3.193,-3.037,-2.581,-2.442,-2.163,-1.479,-0.826,-0.171
2016-01-02,08:00:00,-3.378,-3.313,-3.313,-3.163,-3.028,-2.584,-2.450,-2.171,-1.482,-0.827,-0.177
2016-01-02,09:00:00,-3.297,-3.241,-3.258,-3.131,-3.009,-2.581,-2.452,-2.173,-1.482,-0.827,-0.179
2016-01-02,10:00:00,-3.251,-3.186,-3.209,-3.096,-2.984,-2.581,-2.453,-2.174,-1.482,-0.827,-0.183
2016-01-02,11:00:00,-3.211,-3.142,-3.170,-3.060,-2.958,-2.565,-2.453,-2.174,-1.482,-0.827,-0.182
2016-01-02,12:00:00,-3.183,-3.099,-3.130,-3.025,-2.931,-2.558,-2.449,-2.174,-1.482,-0.827,-0.182
2016-01-02,13:00:00,-3.192,-3.077,-3.100,-2.997,-2.908,-2.542,-2.439,-2.174,-1.484,-0.829,-0.167
2016-01-02,14:00:00,-3.258,-3.077,-3.081,-2.973,-2.882,-2.527,-2.436,-2.167,-1.477,-0.831,-0.169
2016-01-02,15:00:00,-3.363,-3.110,-3.085,-2.956,-2.869,-2.524,-2.435,-2.161,-1.476,-0.834,-0.172
2016-01-02,16:00:00,-3.462,-3.156,-3.103,-2.953,-2.866,-2.503,-2.423,-2.159,-1.469,-0.832,-0.172
2016-01-02,17:00:00,-3.532,-3.202,-3.126,-2.967,-2.859,-2.496,-2.417,-2.160,-1.468,-0.829,-0.172
2016-01-02,18:00:00,-3.590,-3.243,-3.152,-2.975,-2.864,-2.481,-2.408,-2.159,-1.467,-0.830,-0.173
2016-01-02,19:00:00,-3.620,-3.268,-3.172,-2.992,-2.864,-2.480,-2.405,-2.152,-1.466,-0.827,-0.179
2016-01-02,20:00:00,-3.632,-3.284,-3.192,-3.003,-2.868,-2.478,-2.398,-2.144,-1.464,-0.827,-0.182
2016-01-02,21:00:00,-3.630,-3.292,-3.202,-3.011,-2.878,-2.478,-2.392,-2.134,-1.464,-0.830,-0.179
2016-01-02,22:00:00,-3.628,-3.301,-3.209,-3.021,-2.885,-2.479,-2.393,-2.136,-1.465,-0.826,-0.179
2016-01-02,23:00:00,-3.627,-3.307,-3.215,-3.033,-2.886,-2.480,-2.394,-2.137,-1.466,-0.822,-0.182
2016-01-03,00:00:00,-3.627,-3.310,-3.218,-3.034,-2.885,-2.480,-2.392,-2.136,-1.466,-0.823,-0.181
2016-01-03,01:00:00,-3.639,-3.314,-3.224,-3.034,-2.896,-2.480,-2.392,-2.136,-1.462,-0.822,-0.187
2016-01-03,02:00:00,-3.654,-3.326,-3.231,-3.035,-2.902,-2.478,-2.393,-2.135,-1.459,-0.818,-0.189
2016-01-03,03:00:00,-3.668,-3.334,-3.244,-3.041,-2.906,-2.479,-2.391,-2.135,-1.456,-0.817,-0.192
2016-01-03,04:00:00,-3.687,-3.349,-3.247,-3.049,-2.905,-2.480,-2.393,-2.130,-1.454,-0.818,-0.191
2016-01-03,05:00:00,-3.734,-3.372,-3.261,-3.055,-2.907,-2.480,-2.385,-2.118,-1.455,-0.816,-0.192
2016-01-03,06:00:00,-3.797,-3.403,-3.281,-3.068,-2.910,-2.481,-2.385,-2.116,-1.453,-0.814,-0.194
2016-01-03,07:00:00,-3.866,-3.444,-3.305,-3.081,-2.925,-2.483,-2.385,-2.118,-1.453,-0.814,-0.194
2016-01-03,08:00:00,-3.940,-3.490,-3.342,-3.102,-2.937,-2.491,-2.382,-2.120,-1.450,-0.816,-0.194
2016-01-03,09:00:00,-4.015,-3.540,-3.376,-3.125,-2.953,-2.500,-2.382,-2.120,-1.450,-0.816,-0.196
2016-01-03,10:00:00,-4.073,-3.587,-3.413,-3.150,-2.969,-2.507,-2.385,-2.120,-1.450,-0.816,-0.191
2016-01-03,11:00:00,-4.104,-3.622,-3.445,-3.178,-2.987,-2.510,-2.389,-2.120,-1.450,-0.816,-0.194
2016-01-03,12:00:00,-4.144,-3.652,-3.473,-3.203,-3.007,-2.528,-2.394,-2.120,-1.450,-0.816,-0.198
2016-01-03,13:00:00,-4.131,-3.675,-3.503,-3.226,-3.030,-2.532,-2.400,-2.120,-1.450,-0.816,-0.189
2016-01-03,14:00:00,-4.103,-3.675,-3.508,-3.251,-3.045,-2.548,-2.400,-2.120,-1.450,-0.816,-0.198
2016-01-03,15:00:00,-4.124,-3.680,-3.519,-3.254,-3.060,-2.553,-2.402,-2.120,-1.450,-0.816,-0.198
2016-01-03,16:00:00,-4.138,-3.701,-3.536,-3.274,-3.076,-2.571,-2.411,-2.120,-1.450,-0.816,-0.198
2016-01-03,17:00:00,-4.151,-3.715,-3.550,-3.288,-3.086,-2.571,-2.416,-2.120,-1.450,-0.816,-0.198
2016-01-03,18:00:00,-4.172,-3.731,-3.564,-3.300,-3.100,-2.587,-2.421,-2.120,-1.450,-0.816,-0.198
2016-01-03,19:00:00,-4.193,-3.750,-3.583,-3.312,-3.114,-2.592,-2.428,-2.127,-1.449,-0.816,-0.198
2016-01-03,20:00:00,-4.228,-3.770,-3.596,-3.332,-3.125,-2.605,-2.442,-2.142,-1.450,-0.816,-0.198
2016-01-03,21:00:00,-4.246,-3.793,-3.619,-3.343,-3.136,-2.612,-2.441,-2.141,-1.448,-0.815,-0.197
2016-01-03,22:00:00,-4.322,-3.820,-3.636,-3.358,-3.150,-2.617,-2.442,-2.142,-1.450,-0.816,-0.198
2016-01-03,23:00:00,-4.437,-3.880,-3.669,-3.382,-3.167,-2.631,-2.451,-2.141,-1.449,-0.816,-0.198
2016-01-04,00:00:00,-4.536,-3.946,-3.715,-3.405,-3.183,-2.635,-2.457,-2.140,-1.448,-0.814,-0.196
2016-01-04,01:00:00,-4.614,-4.007,-3.764,-3.440,-3.207,-2.656,-2.463,-2.141,-1.449,-0.815,-0.197
2016-01-04,02:00:00,-4.757,-4.085,-3.815,-3.473,-3.233,-2.660,-2.466,-2.144,-1.450,-0.816,-0.198
2016-01-04,03:00:00,-4.882,-4.178,-3.884,-3.522,-3.265,-2.682,-2.482,-2.158,-1.450,-0.816,-0.198
2016-01-04,04:00:00,-4.923,-4.239,-3.942,-3.570,-3.300,-2.699,-2.486,-2.164,-1.450,-0.816,-0.198
2016-01-04,05:00:00,-4.998,-4.303,-3.998,-3.614,-3.339,-2.717,-2.496,-2.164,-1.450,-0.816,-0.198
2016-01-04,06:00:00,-5.011,-4.343,-4.046,-3.662,-3.375,-2.741,-2.506,-2.168,-1.448,-0.814,-0.196
2016-01-04,07:00:00,-4.992,-4.367,-4.081,-3.699,-3.411,-2.765,-2.523,-2.180,-1.444,-0.811,-0.200
2016-01-04,08:00:00,-5,-4,-4,-4,-3,-3,-3,-2,-1,-1,0
2016-01-04,09:00:00,-4.829,-4.334,-4.102,-3.750,-3.463,-2.809,-2.551,-2.194,-1.451,-0.816,-0.211
2016-01-04,10:00:00,-5,-4,-4,-4,-3,-3,-3,-2,-1,-1,0
2016-01-04,11:00:00,-5,-4,-4,-4,-3,-3,-3,-2,-1,-1,0
2016-01-04,12:00:00,-4.493,-4.170,-4.027,-3.743,-3.494,-2.858,-2.587,-2.216,-1.459,-0.824,-0.208
2016-01-04,13:00:00,-4.315,-4.081,-3.973,-3.712,-3.483,-2.865,-2.597,-2.220,-1.455,-0.820,-0.202
2016-01-04,14:00:00,-4.115,-3.967,-3.905,-3.679,-3.463,-2.869,-2.606,-2.228,-1.454,-0.817,-0.199
2016-01-04,15:00:00,-3.973,-3.864,-3.831,-3.633,-3.439,-2.868,-2.611,-2.234,-1.465,-0.816,-0.198
2016-01-04,16:00:00,-3.850,-3.768,-3.759,-3.584,-3.408,-2.865,-2.616,-2.249,-1.471,-0.816,-0.198
2016-01-04,17:00:00,-3.755,-3.689,-3.691,-3.531,-3.370,-2.854,-2.623,-2.248,-1.471,-0.816,-0.198
2016-01-04,18:00:00,-3.641,-3.610,-3.627,-3.481,-3.337,-2.845,-2.623,-2.248,-1.471,-0.816,-0.206
2016-01-04,19:00:00,-3.540,-3.526,-3.559,-3.427,-3.293,-2.821,-2.616,-2.252,-1.471,-0.816,-0.198
2016-01-04,20:00:00,-3,-3,-3,-3,-3,-3,-3,-2,-1,-1,0
2016-01-04,21:00:00,-3,-3,-3,-3,-3,-3,-3,-2,-1,-1,0
2016-01-04,22:00:00,-3,-3,-3,-3,-3,-3,-3,-2,-1,-1,0
2016-01-04,23:00:00,-3,-3,-3,-3,-3,-3,-3,-2,-1,-1,0
2016-01-05,00:00:00,-3,-3,-3,-3,-3,-3,-3,-2,-1,-1,0
2016-01-05,01:00:00,-3,-3,-3,-3,-3,-3,-3,-2,-1,-1,0
2016-01-05,02:00:00,-3,-3,-3,-3,-3,-3,-3,-2,-1,-1,0
2016-01-05,03:00:00,-3,-3,-3,-3,-3,-3,-3,-2,-1,-1,0
2016-01-05,04:00:00,-3,-3,-3,-3,-3,-3,-3,-2,-1,-1,0
2016-01-05,05:00:00,-3,-3,-3,-3,-3,-3,-3,-2,-1,-1,0
2016-01-05,06:00:00,-3,-3,-3,-3,-3,-3,-3,-2,-1,-1,0
2016-01-05,07:00:00,-3,-3,-3,-3,-3,-3,-2,-2,-1,-1,0
2016-01-05,08:00:00,-3,-3,-3,-3,-3,-3,-2,-2,-1,-1,0
2016-01-05,09:00:00,-3,-3,-3,-3,-3,-3,-2,-2,-1,-1,0
2016-01-05,10:00:00,-3,-3,-3,-3,-3,-2,-2,-2,-1,-1,0
2016-01-05,11:00:00,-3,-3,-3,-3,-3,-2,-2,-2,-1,-1,0
2016-01-05,12:00:00,-3,-3,-3,-3,-3,-2,-2,-2,-1,-1,0
2016-01-05,13:00:00,-3,-3,-3,-3,-3,-2,-2,-2,-1,-1,0
2016-01-05,14:00:00,-2.851,-2.826,-2.874,-2.778,-2.717,-2.423,-2.395,-2.162,-1.493,-0.838,-0.220
2016-01-05,15:00:00,-2.851,-2.805,-2.854,-2.760,-2.700,-2.411,-2.383,-2.148,-1.486,-0.838,-0.221
2016-01-05,16:00:00,-2.812,-2.784,-2.833,-2.739,-2.681,-2.394,-2.369,-2.142,-1.482,-0.838,-0.221
2016-01-05,17:00:00,-3,-3,-3,-3,-3,-2,-2,-2,-1,-1,0
2016-01-05,18:00:00,-3,-3,-3,-3,-3,-2,-2,-2,-1,-1,0
2016-01-05,19:00:00,-3,-3,-3,-3,-3,-2,-2,-2,-1,-1,0
2016-01-05,20:00:00,-3,-3,-3,-3,-3,-2,-2,-2,-1,-1,0
2016-01-05,21:00:00,-4,-3,-3,-3,-3,-2,-2,-2,-1,-1,0
2016-01-05,22:00:00,-4,-3,-3,-3,-3,-2,-2,-2,-1,-1,0
2016-01-05,23:00:00,-4,-3,-3,-3,-3,-2,-2,-2,-1,-1,0
2016-01-06,00:00:00,-4,-4,-3,-3,-3,-2,-2,-2,-1,-1,0
2016-01-06,01:00:00,-5,-4,-3,-3,-3,-2,-2,-2,-1,-1,0
2016-01-06,02:00:00,-5,-4,-4,-3,-3,-2,-2,-2,-1,-1,0
2016-01-06,03:00:00,-5,-4,-4,-3,-3,-2,-2,-2,-1,-1,0
2016-01-06,04:00:00,-5,-4,-4,-3,-3,-2,-2,-2,-1,-1,0
2016-01-06,05:00:00,-6,-5,-4,-3,-3,-2,-2,-2,-1,-1,0
2016-01-06,06:00:00,-6,-5,-4,-4,-3,-3,-2,-2,-1,-1,0
2016-01-06,07:00:00,-6,-5,-4,-4,-3,-3,-2,-2,-1,-1,0
2016-01-06,08:00:00,-6,-5,-4,-4,-3,-3,-2,-2,-1,-1,0
2016-01-06,09:00:00,-6,-5,-4,-4,-3,-3,-2,-2,-1,-1,0
2016-01-06,10:00:00,-6,-5,-5,-4,-4,-3,-2,-2,-1,-1,0
2016-01-06,11:00:00,-6,-5,-5,-4,-4,-3,-2,-2,-1,-1,0
2016-01-06,12:00:00,-6,-5,-5,-4,-4,-3,-3,-2,-1,-1,0
2016-01-06,13:00:00,-7,-5,-5,-4,-4,-3,-3,-2,-1,-1,0
2016-01-06,14:00:00,-6.599,-5.496,-4.952,-4.334,-3.869,-2.959,-2.575,-2.167,-1.453,-0.838,-0.236
2016-01-06,15:00:00,-6.684,-5.577,-5.036,-4.415,-3.941,-3.011,-2.608,-2.189,-1.461,-0.837,-0.232
2016-01-06,16:00:00,-6.838,-5.681,-5.121,-4.491,-4.015,-3.066,-2.643,-2.203,-1.461,-0.834,-0.238
2016-01-06,17:00:00,-7.044,-5.812,-5.224,-4.574,-4.084,-3.120,-2.679,-2.227,-1.461,-0.838,-0.242
2016-01-06,18:00:00,-7,-6,-5,-5,-4,-3,-3,-2,-1,-1,0
2016-01-06,19:00:00,-7,-6,-5,-5,-4,-3,-3,-2,-1,-1,0
2016-01-06,20:00:00,-8,-6,-6,-5,-4,-3,-3,-2,-1,-1,0
2016-01-06,21:00:00,-8,-6,-6,-5,-4,-3,-3,-2,-1,-1,0
2016-01-06,22:00:00,-8,-6,-6,-5,-5,-3,-3,-2,-1,-1,0
2016-01-06,23:00:00,-8,-7,-6,-5,-5,-3,-3,-2,-1,-1,0
2016-01-07,00:00:00,-8,-7,-6,-5,-5,-4,-3,-2,-2,-1,0
2016-01-07,01:00:00,-8,-7,-6,-5,-5,-4,-3,-2,-2,-1,0
2016-01-07,02:00:00,-8,-7,-6,-5,-5,-4,-3,-2,-2,-1,0
2016-01-07,03:00:00,-8,-7,-6,-6,-5,-4,-3,-2,-2,-1,0
2016-01-07,04:00:00,-8,-7,-6,-6,-5,-4,-3,-3,-2,-1,0
2016-01-07,05:00:00,-8,-7,-6,-6,-5,-4,-3,-3,-2,-1,0
2016-01-07,06:00:00,-8,-7,-7,-6,-5,-4,-3,-3,-2,-1,0
2016-01-07,07:00:00,-8,-7,-7,-6,-5,-4,-3,-3,-2,-1,0
2016-01-07,08:00:00,-8,-7,-7,-6,-5,-4,-3,-3,-2,-1,0
2016-01-07,09:00:00,-8,-7,-7,-6,-5,-4,-3,-3,-2,-1,0
2016-01-07,10:00:00,-8,-7,-6,-6,-5,-4,-3,-3,-2,-1,0
2016-01-07,11:00:00,-7,-7,-6,-6,-5,-4,-3,-3,-2,-1,0
2016-01-07,12:00:00,-7,-7,-6,-6,-5,-4,-3,-3,-2,-1,0
2016-01-07,13:00:00,-6,-6,-6,-6,-5,-4,-4,-3,-2,-1,0
2016-01-07,14:00:00,-6,-6,-6,-6,-5,-4,-4,-3,-2,-1,0
2016-01-07,15:00:00,-5.778,-5.775,-5.752,-5.491,-5.159,-4.210,-3.556,-2.853,-1.672,-0.895,-0.254
2016-01-07,16:00:00,-5.653,-5.610,-5.595,-5.366,-5.075,-4.194,-3.576,-2.875,-1.680,-0.897,-0.256
2016-01-07,17:00:00,-6,-5,-5,-5,-5,-4,-4,-3,-2,-1,0
2016-01-07,18:00:00,-6,-5,-5,-5,-5,-4,-4,-3,-2,-1,0
2016-01-07,19:00:00,-6,-5,-5,-5,-5,-4,-4,-3,-2,-1,0
2016-01-07,20:00:00,-6,-5,-5,-5,-5,-4,-4,-3,-2,-1,0
2016-01-07,21:00:00,-6,-5,-5,-5,-5,-4,-4,-3,-2,-1,0
2016-01-07,22:00:00,-6,-5,-5,-5,-5,-4,-4,-3,-2,-1,0
2016-01-07,23:00:00,-6,-5,-5,-5,-5,-4,-4,-3,-2,-1,0
2016-01-08,00:00:00,-6,-5,-5,-5,-5,-4,-4,-3,-2,-1,0
2016-01-08,01:00:00,-6,-6,-5,-5,-5,-4,-4,-3,-2,-1,0
2016-01-08,02:00:00,-6,-6,-5,-5,-5,-4,-4,-3,-2,-1,0
2016-01-08,03:00:00,-7,-6,-5,-5,-5,-4,-4,-3,-2,-1,0
2016-01-08,04:00:00,-7,-6,-6,-5,-5,-4,-4,-3,-2,-1,0
2016-01-08,05:00:00,-7,-6,-6,-5,-5,-4,-4,-3,-2,-1,0
2016-01-08,06:00:00,-8,-6,-6,-5,-5,-4,-4,-3,-2,-1,0
2016-01-08,07:00:00,-8,-7,-6,-5,-5,-4,-4,-3,-2,-1,0
2016-01-08,08:00:00,-8,-7,-6,-5,-5,-4,-4,-3,-2,-1,0
2016-01-08,09:00:00,-8,-7,-6,-6,-5,-4,-4,-3,-2,-1,0
