Date,Time_UTC,avgAT_C_1m,avgAT_C_2m,avgRH_1m,avgRH_2m,avgDP_C,totalPPT_mm.hr,sampleSnowDepth_m,sampleWD_Deg,sampleWS_m.s,maxWS_m.s,avgSolarRad_W.m2
2016-01-01,00:00:00,-2.79,-2.59,62.4,60.74,-8.93,7777,0.088,25.12,14.96,20.79,NAN
2016-01-01,01:00:00,-2.84,-2.66,66.65,64.17,-8.33,7777,0.087,54.04,13.18,17.89,NAN
2016-01-01,02:00:00,-2.48,-2.28,61.72,60.3,-8.89,7777,0.091,37.12,15.16,17.38,NAN
2016-01-01,03:00:00,-2.35,-2.15,58.56,59.07,-9.38,7777,0.092,44.4,15.42,19.52,NAN
2016-01-01,04:00:00,-2.47,-2.26,57.68,59.48,-9.7,7777,0.09,53.46,13.67,18.1,NAN
2016-01-01,05:00:00,-2.66,-2.46,55.47,59.11,-10.22,7777,0.092,51.77,13.69,18.95,NAN
2016-01-01,06:00:00,-2.39,-2.16,52.55,59.27,-10.84,7777,0.092,4.77,15.2,17.2,NAN
2016-01-01,07:00:00,-2.49,-2.25,54.49,59.82,-10.46,7777,0.081,45.75,18.86,19.82,NAN
2016-01-01,08:00:00,-2.33,-2.09,57.07,59.41,-9.75,7777,0.092,36.16,13.57,19.86,NAN
2016-01-01,09:00:00,-2.34,-2.13,63.35,63.01,-8.31,7777,0.087,22.51,18.15,19.88,NAN
2016-01-01,10:00:00,-2.03,-1.82,61.58,60.8,-8.7,7777,0.095,6.6,9.67,18.33,NAN
2016-01-01,11:00:00,-1.61,-1.38,56.32,60.76,-9.38,7777,0.097,40.58,9.93,16.03,NAN
2016-01-01,12:00:00,-1.03,-0.82,52.58,59.64,-9.4,7777,0.087,43.62,17.89,20.9,NAN
2016-01-01,13:00:00,-0.35,-0.16,49.62,59.23,-9.73,0,0.096,43.18,11.13,18.21,NAN
2016-01-01,14:00:00,0.01,0.25,45.75,58.96,-10.63,0,0.096,44.92,12.83,16.25,NAN
2016-01-01,15:00:00,0.23,0.48,41.68,58.58,-11.29,0,0.098,27.47,8.7,15.25,NAN
2016-01-01,16:00:00,-0.17,0.06,42.66,58.95,-11.24,0,0.099,46.55,7.094,12.28,NAN
2016-01-01,17:00:00,-1.06,-0.68,46.33,59.73,-11.13,7777,0.1,58.37,3.922,8.09,NAN
2016-01-01,18:00:00,-1.48,-0.99,46.1,59.37,-11.71,7777,0.099,0.72,4.965,7.014,NAN
2016-01-01,19:00:00,0.29,0.94,40.42,58.68,-11.92,0,0.1,34.7,2.667,5.826,NAN
2016-01-01,20:00:00,0.26,1.29,40.73,58.58,-11.89,0,0.1,341.4,2.45,2.951,NAN
2016-01-01,21:00:00,1.58,2.36,42.32,57.56,-9.18,0,0.099,8.63,3.729,4.867,NAN
2016-01-01,22:00:00,1.73,2.09,41.64,54.81,-9.97,0,0.097,343.4,2.956,8.46,NAN
2016-01-01,23:00:00,0.01,0.5,39.2,54.94,-12.36,0,0.101,14.8,4.235,6.308,NAN
2016-01-02,00:00:00,0.49,1.21,35.44,54.61,-12.82,0,0.097,3.62,1.225,6.724,NAN
2016-01-02,01:00:00,0.27,1.12,37.4,54.13,-12.28,0,0.099,31.37,4.098,6.948,NAN
2016-01-02,02:00:00,1.21,1.69,37.57,54.44,-11.91,0,0.098,207.6,1.589,7.164,NAN
2016-01-02,03:00:00,0.69,1.36,39.07,54.1,-11.79,0,0.098,45.45,3.26,4.993,NAN
2016-01-02,04:00:00,2.07,2.32,43.44,52.74,-9.27,0,0.095,57.24,10.24,11.11,NAN
2016-01-02,05:00:00,2.39,2.62,45.94,50.96,-8.1,0,0.096,45.09,11.33,11.55,NAN
2016-01-02,06:00:00,2.35,2.54,50.35,52.45,-7.28,0,0.093,44.13,13.13,15.23,NAN
2016-01-02,07:00:00,0.66,0.83,65.93,63.32,-5.48,0,0.094,37.83,16.67,19.05,NAN
2016-01-02,08:00:00,0.26,0.48,67.2,64.55,-5.1,0,0.086,34.41,18.04,24.49,NAN
2016-01-02,09:00:00,0.11,0.29,64.04,61.57,-6.25,0,0.086,38.75,17.03,19.06,NAN
2016-01-02,10:00:00,0.14,0.32,58.78,57.29,-7,0,0.088,39.66,16.39,19.67,NAN
2016-01-02,11:00:00,-0.29,-0.14,63.26,60.55,-6.68,0,0.089,26.12,14.79,20.58,NAN
2016-01-02,12:00:00,-0.89,-0.72,60.72,58,-7.67,0,0.084,34.31,19.39,21.78,NAN
2016-01-02,13:00:00,-1.72,-1.53,61.13,58.85,-8.15,7777,0.088,44.44,17.89,23.72,NAN
2016-01-02,14:00:00,-1.86,-1.64,53.02,53.7,-10.03,7777,0.073,40.58,19.84,21.23,NAN
2016-01-02,15:00:00,-2.15,-1.93,55.95,56.38,-10.07,7777,0.094,12.87,12.7,27.99,NAN
2016-01-02,16:00:00,-2.1,-1.88,53.5,53.98,-10.31,7777,0.08,47.53,21.59,24.58,NAN
2016-01-02,17:00:00,-2.26,-2.03,54.25,53.77,-10.1,7777,0.085,42.76,19.83,26.09,NAN
2016-01-02,18:00:00,-1.91,-1.69,50.75,51.53,-10.81,7777,0.074,39.43,23.66,27.76,NAN
2016-01-02,19:00:00,-1.67,-1.44,48.3,52.14,-11.24,7777,0.056,21.01,26.45,30.09,NAN
2016-01-02,20:00:00,-1.57,-1.34,47.83,51.97,-11.18,7777,0.069,22.36,27.25,29.43,NAN
2016-01-02,21:00:00,-1.77,-1.55,50.61,52.44,-10.49,7777,0.071,42.03,25.39,28.72,NAN
2016-01-02,22:00:00,-1.98,-1.76,55.57,53.91,-9.81,7777,0.067,32.92,26.83,28.12,NAN
2016-01-02,23:00:00,-1.9,-1.67,54.25,53.53,-9.76,7777,0.077,24.29,22.62,28.6,NAN
2016-01-03,00:00:00,-1.98,-1.75,55.5,53.97,-9.63,7777,0.066,29.31,22.79,27.52,NAN
2016-01-03,01:00:00,-1.71,-1.48,52.59,52.75,-10.11,7777,0.083,43.62,23.57,25.79,NAN
2016-01-03,02:00:00,-1.71,-1.48,52.65,52.65,-10.13,7777,0.05,37.74,22.09,27.48,NAN
2016-01-03,03:00:00,-1.4,-1.14,48.47,51.36,-10.87,7777,0.083,22.7,21.24,24.88,NAN
2016-01-03,04:00:00,-1.65,-1.4,48.82,51.09,-11.07,7777,0.073,56.78,18.57,21.41,NAN
2016-01-03,05:00:00,-1.93,-1.69,49.16,50.34,-11.17,7777,0.087,56.01,17.23,21.65,NAN
2016-01-03,06:00:00,-2.2,-1.95,49.94,50.61,-11.26,7777,0.086,42.27,12.83,19.49,NAN
2016-01-03,07:00:00,-2.66,-2.42,53.06,52.01,-10.91,7777,0.08,60.31,16.78,19.96,NAN
2016-01-03,08:00:00,-2.85,-2.61,53.85,53.34,-10.74,7777,0.087,40.01,15.13,18.57,NAN
2016-01-03,09:00:00,-2.94,-2.68,54.66,52.79,-10.77,7777,0.092,41.27,12.69,15.3,NAN
2016-01-03,10:00:00,-3.18,-2.95,59.24,56.94,-9.97,7777,0.092,39.15,15.21,16.71,NAN
2016-01-03,11:00:00,-3.4,-3.19,58.53,56.29,-10.23,7777,0.085,-4.68,14.88,17.81,NAN
2016-01-03,12:00:00,-3.15,-2.97,56.12,53.91,-10.65,7777,0.081,-6.56,16.63,20.04,NAN
2016-01-03,13:00:00,-3.03,-2.86,57.04,54.83,-10.38,7777,0.088,14.99,17.67,20.16,NAN
2016-01-03,14:00:00,-3.27,-3.1,60.71,58.6,-9.78,7777,0.093,47.49,12.77,19.22,NAN
2016-01-03,15:00:00,-3.03,-2.83,59.55,57.18,-9.78,7777,0.08,37.84,20.42,21.09,NAN
2016-01-03,16:00:00,-2.77,-2.55,58.7,56.5,-9.7,7777,0.08,48.11,16.6,20.57,NAN
2016-01-03,17:00:00,-2.73,-2.49,57.65,55.24,-9.91,7777,0.09,52.26,16.26,20,NAN
2016-01-03,18:00:00,-2.57,-2.34,54.87,52.9,-10.41,7777,0.086,49.37,17.04,18.19,NAN
2016-01-03,19:00:00,-2.52,-2.27,52.52,51.44,-10.93,7777,0.089,14.75,13.14,17.34,NAN
2016-01-03,20:00:00,-2.34,-2.07,49.03,50.86,-11.57,7777,0.091,27.19,13.52,16.41,NAN
2016-01-03,21:00:00,-2.17,-1.92,44.2,51.16,-12.6,7777,0.099,6.41,1.55,15.04,NAN
2016-01-03,22:00:00,-1.96,-1.6,39.22,50.65,-13.59,7777,0.102,33.31,3.015,8.78,NAN
2016-01-03,23:00:00,-1.4,-0.93,33.78,51.23,-15.12,7777,0.098,41.7,7.561,8.2,NAN
2016-01-04,00:00:00,-2.23,-1.91,34.42,49.22,-15.82,7777,0.099,38.95,6.613,12.54,NAN
2016-01-04,01:00:00,-3.22,-2.82,34.26,49.67,-16.79,7777,0.099,18.61,5.029,7.843,NAN
2016-01-04,02:00:00,-2.3,-1.56,26.25,50.39,-19.81,7777,0.098,35.34,8.81,10.83,NAN
2016-01-04,03:00:00,-2.35,-2.02,27.2,50.35,-18.7,7777,0.097,49.37,7.793,12.52,NAN
2016-01-04,04:00:00,-3.05,-2.62,28.93,50.55,-18.62,7777,0.097,41.12,6.816,9.31,NAN
2016-01-04,05:00:00,-2.09,-1.66,30.32,50.39,-17.43,7777,0.096,58.28,7.087,7.84,NAN
2016-01-04,06:00:00,-1.13,-0.6,28.35,50.08,-17.01,7777,0.099,14.65,4.501,7.866,NAN
2016-01-04,07:00:00,-0.32,0.18,26.82,49.76,-17.35,0,0.099,34.94,4.358,6.112,NAN
2016-01-04,08:00:00,0,0,29,51,-16,0,0,37,5.119,6.775,NAN
2016-01-04,09:00:00,-0.32,0.05,29.43,49.62,-16.13,0,0.099,46.99,5.005,8.51,NAN
2016-01-04,10:00:00,1,1,28,50,-16,0,0,61,8.61,9.14,NAN
2016-01-04,11:00:00,1,1,27,50,-17,0,0,243,0.786,10.66,NAN
2016-01-04,12:00:00,1.54,1.82,25.83,49.11,-16.01,0,0.09,40.62,14.21,14.21,NAN
2016-01-04,13:00:00,1.67,1.85,23.21,50.29,-16.8,0,0.092,39.7,13.85,16.84,NAN
2016-01-04,14:00:00,2.17,2.39,23.95,49.64,-16.73,0,0.096,43.36,10.32,15.37,NAN
2016-01-04,15:00:00,2.19,2.42,29.62,48.55,-13.21,0,0.092,51.6,11.62,14.12,NAN
2016-01-04,16:00:00,2.48,2.76,31.76,49.3,-12.69,0,0.092,39.12,11.39,15.51,NAN
2016-01-04,17:00:00,2.73,2.98,35.39,49.4,-11.28,0,0.082,13.68,15.12,16.22,NAN
2016-01-04,18:00:00,2.4,2.62,36.07,50.08,-11.23,0,0.075,49.91,18.54,19.12,NAN
2016-01-04,19:00:00,1.92,2.17,35.66,49.06,-11.83,0,0.091,42.15,14.88,19.37,NAN
2016-01-04,20:00:00,2,3,36,47,-11,0,0,47,13.47,17.08,NAN
2016-01-04,21:00:00,2,3,36,48,-11,0,0,54,8.06,15.7,NAN
2016-01-04,22:00:00,2,3,38,48,-10,0,0,51,9.11,12.13,NAN
2016-01-04,23:00:00,3,3,39,49,-10,0,0,35,11.59,14.08,NAN
2016-01-05,00:00:00,3,3,37,49,-10,0,0,49,17.72,17.96,NAN
2016-01-05,01:00:00,3,4,36,47,-10,0,0,24,18.51,22.91,NAN
2016-01-05,02:00:00,3,4,35,47,-11,0,0,46,17.1,21.12,NAN
2016-01-05,03:00:00,3,4,36,46,-10,0,0,51,14.98,19.75,NAN
2016-01-05,04:00:00,3,4,35,48,-11,0,0,47,14.63,18.62,NAN
2016-01-05,05:00:00,3,3,35,49,-11,0,0,62,14.41,18.15,NAN
2016-01-05,06:00:00,3,3,33,50,-12,0,0,42,11.2,15.82,NAN
2016-01-05,07:00:00,3,3,32,49,-12,0,0,46,12.57,14.29,NAN
2016-01-05,08:00:00,3,3,33,50,-12,0,0,52,11.46,15.54,NAN
2016-01-05,09:00:00,3,3,33,48,-12,0,0,51,11.58,15.7,NAN
2016-01-05,10:00:00,3,3,33,49,-12,0,0,53,10.94,15.5,NAN
2016-01-05,11:00:00,2,3,30,49,-13,0,0,53,11.94,16.94,NAN
2016-01-05,12:00:00,2,3,31,47,-14,0,0,53,10.84,15.97,NAN
2016-01-05,13:00:00,2.78,2.89,40.07,47.91,-8.94,0,0.097,52.32,3.492,13.74,NAN
2016-01-05,14:00:00,2.97,2.69,42.1,49.13,-8.57,0,0.088,64.51,11.97,11.97,NAN
2016-01-05,15:00:00,1.69,1.88,48.21,49.91,-7.98,0,0.087,36.66,15.79,18.27,NAN
2016-01-05,16:00:00,1.67,1.91,50.86,49.13,-7.26,0,0.093,45.48,13.07,15.7,NAN
2016-01-05,17:00:00,2,2,45,49,-9,0,0,43,8.14,13.13,NAN
2016-01-05,18:00:00,2,2,37,49,-11,0,0,319,4.438,8.9,NAN
2016-01-05,19:00:00,2,3,34,50,-12,0,0,334,2.066,4.813,NAN
2016-01-05,20:00:00,1,1,36,52,-13,0,0,258,1.653,5.849,NAN
2016-01-05,21:00:00,1,1,37,51,-12,0,0,112,1.388,3.727,NAN
2016-01-05,22:00:00,-1,0,43,50,-12,0,0,301,1.481,5.034,NAN
2016-01-05,23:00:00,-1,0,42,49,-13,7777,0,320,1.209,2.146,NAN
2016-01-06,00:00:00,-3,-1,43,48,-14,7777,0,85,1.321,3.427,NAN
2016-01-06,01:00:00,-3,-1,42,49,-15,7777,0,158,1.477,2.287,NAN
2016-01-06,02:00:00,-4,-2,47,51,-14,7777,0,17,1.71,2.504,NAN
2016-01-06,03:00:00,-4,-2,44,51,-14,7777,0,30,2.661,3.685,NAN
2016-01-06,04:00:00,-4,-2,46,51,-14,7777,0,97,1.978,4.039,NAN
2016-01-06,05:00:00,-4,-2,43,50,-15,7777,0,40,2.298,3.365,NAN
2016-01-06,06:00:00,-4,-2,41,50,-16,7777,0,86,0.861,3.36,NAN
2016-01-06,07:00:00,-4,-2,42,49,-15,7777,0,63,0.292,2.537,NAN
2016-01-06,08:00:00,-3,-2,39,49,-15,7777,0,211,0.681,1.349,NAN
2016-01-06,09:00:00,-3,-2,41,48,-15,7777,0,34,0,1.418,NAN
2016-01-06,10:00:00,-6,-4,47,49,-15,7777,0,52,0.289,2.236,NAN
2016-01-06,11:00:00,-4,-3,42,50,-15,7777,0,142,0,1.339,NAN
2016-01-06,12:00:00,-7,-5,49,50,-16,7777,0,48,1.798,2.007,NAN
2016-01-06,13:00:00,-6.32,-5.4,51.8,50.51,-14.45,7777,0.093,22.72,0,1.656,NAN
2016-01-06,14:00:00,-4.54,-4.56,47.28,49.8,-14.11,7777,0.097,171.6,0.343,1.073,NAN
2016-01-06,15:00:00,-6.96,-5.92,54.99,52.17,-14.45,7777,0.093,131.8,1.292,1.446,NAN
2016-01-06,16:00:00,-8.61,-7.17,61.35,56.46,-14.62,7777,0.097,172.8,0.73,1.686,NAN
2016-01-06,17:00:00,-9.7,-8.06,65.47,60.07,-15.04,7777,0.101,306.2,0,1.385,NAN
2016-01-06,18:00:00,-9,-8,66,62,-15,7777,0,292,1.184,1.493,NAN
2016-01-06,19:00:00,-10,-9,66,62,-15,7777,0,5,0.787,1.836,NAN
2016-01-06,20:00:00,-11,-9,68,63,-16,7777,0,43,1.593,3.695,NAN
2016-01-06,21:00:00,-10,-8,66,61,-15,7777,0,21,0,1.754,NAN
2016-01-06,22:00:00,-9,-8,63,58,-15,7777,0,50,0,1.101,NAN
2016-01-06,23:00:00,-11,-9,63,60,-16,7777,0,42,2.127,3.618,NAN
2016-01-07,00:00:00,-10,-8,65,59,-15,7777,0,278,0,2.628,NAN
2016-01-07,01:00:00,-7,-7,57,54,-14,7777,0,254,0.769,2.489,NAN
2016-01-07,02:00:00,-9,-7,58,54,-15,7777,0,152,1.519,2.919,NAN
2016-01-07,03:00:00,-9,-7,61,54,-15,7777,0,268,0.351,2.399,NAN
2016-01-07,04:00:00,-8,-7,60,56,-14,7777,0,1,0.626,1.606,NAN
2016-01-07,05:00:00,-8,-7,63,59,-14,7777,0,315,2.272,3.118,NAN
2016-01-07,06:00:00,-7,-7,59,56,-14,7777,0,281,1.292,2.863,NAN
2016-01-07,07:00:00,-6,-6,55,53,-14,7777,0,12,1.767,2.51,NAN
2016-01-07,08:00:00,-7,-7,58,55,-14,7777,0,330,1.455,2.435,NAN
2016-01-07,09:00:00,-6,-6,53,52,-14,7777,0,238,2.602,2.602,NAN
2016-01-07,10:00:00,-4,-4,46,50,-14,7777,0,49,10.84,11.58,NAN
2016-01-07,11:00:00,0,1,36,48,-13,0,0,56,10.26,13.88,NAN
2016-01-07,12:00:00,1,1,39,48,-12,0,0,69,14.41,14.73,NAN
2016-01-07,13:00:00,0.2,0.37,44.19,49.55,-10.51,0,0.087,46.02,14.08,15.99,NAN
2016-01-07,14:00:00,0,0.14,45.41,48.2,-10.47,0,0.095,65.3,12.25,17.7,NAN
2016-01-07,15:00:00,-0.81,-0.62,47.34,48.23,-10.58,0,0.092,54.94,13.74,18.89,NAN
2016-01-07,16:00:00,-0.94,-0.74,46.94,47.56,-10.95,0,0.094,44.34,12.57,17.01,NAN
2016-01-07,17:00:00,-1,-1,47,47,-11,7777,0,36,13.87,15.86,NAN
2016-01-07,18:00:00,-2,-1,48,47,-11,7777,0,64,11.06,14.96,NAN
2016-01-07,19:00:00,-2,-2,49,47,-11,7777,0,50,12.53,14.97,NAN
2016-01-07,20:00:00,-2,-2,49,47,-12,7777,0,43,9.94,13.93,NAN
2016-01-07,21:00:00,-3,-2,49,47,-12,7777,0,26,8.8,10.51,NAN
2016-01-07,22:00:00,-4,-3,53,51,-12,7777,0,40,0.742,7.327,NAN
2016-01-07,23:00:00,-7,-7,63,61,-12,7777,0,354,2.078,3.352,NAN
2016-01-08,00:00:00,-7,-7,70,66,-12,7777,0,301,1.996,4.363,NAN
2016-01-08,01:00:00,-7,-6,65,63,-12,7777,0,296,1.269,2.434,NAN
2016-01-08,02:00:00,-7,-6,65,60,-13,7777,0,231,0.114,1.723,NAN
2016-01-08,03:00:00,-7,-6,66,61,-13,7777,0,228,0,1.831,NAN
2016-01-08,04:00:00,-8,-7,64,60,-14,7777,0,3,0.826,2.762,NAN
2016-01-08,05:00:00,-7,-6,60,55,-14,7777,0,83,0.016,1.356,NAN
2016-01-08,06:00:00,-7,-6,61,57,-13,7777,0,271,0,1.632,NAN
2016-01-08,07:00:00,-7,-7,62,59,-13,7777,0,76,1.478,1.658,NAN
2016-01-08,08:00:00,-10,-8,68,63,-15,7777,0,29,1.653,2.36,NAN
2016-01-08,09:00:00,-9,-8,66,61,-14,7777,0,304,1.465,2.241,NAN
2016-01-08,10:00:00,-8,-7,62,60,-14,7777,0,43,1.953,2.684,NAN
2016-01-08,11:00:00,-10,-8,68,61,-15,7777,0,50,1.101,3.226,NAN
2016-01-08,12:00:00,-8,-6,62,56,-14,7777,0,281,0.936,2.445,NAN
2016-01-08,13:00:00,-8,-6,59,55,-15,7777,0,60,1.839,2.396,NAN
2016-01-08,14:00:00,-7,-7,54,54,-15,7777,0,34,0,3.288,NAN
2016-01-08,15:00:00,-8,-7,59,54,-15,7777,0,3,0.464,3.49,NAN
2016-01-08,16:00:00,-8,-7,58,53,-15,7777,0,345,1.336,2.421,NAN
2016-01-08,17:00:00,-8,-6,59,53,-15,7777,0,-8,0.371,1.271,NAN
2016-01-08,18:00:00,-9,-7,60,54,-15,7777,0,341,0.771,1.508,NAN
2016-01-08,19:00:00,-8,-6,57,53,-15,7777,0,350,1.284,1.284,NAN
2016-01-08,20:00:00,-9,-7,61,56,-15,7777,0,29,0.65,2.79,NAN
2016-01-08,21:00:00,-8,-7,60,55,-14,7777,0,38,0.234,2.127,NAN
2016-01-08,22:00:00,-10,-8,63,58,-16,7777,0,48,2.107,3.185,NAN
2016-01-08,23:00:00,-10,-9,64,58,-16,7777,0,347,0.732,3.015,NAN
2016-01-09,00:00:00,-10,-9,64,61,-16,7777,0,61,1.153,1.707,NAN
2016-01-09,01:00:00,-10,-9,64,59,-16,7777,0,102,1.424,3.123,NAN
2016-01-09,02:00:00,-11,-10,66,62,-16,7777,0,45,3.154,3.577,NAN
2016-01-09,03:00:00,-12,-10.77,69.2,65.63,-16.41,7777,0.095,0.34,1.204,3.18,NAN
2016-01-09,04:00:00,-11.52,-10.22,67.5,64.79,-16.14,7777,0.095,30.17,0.849,2.589,NAN
2016-01-09,05:00:00,-11.59,-10.6,69.07,64.65,-16.03,7777,0.096,238,0.887,2.048,NAN
2016-01-09,06:00:00,-12.27,-11.21,72.4,69.68,-15.87,7777,0.093,126.7,0,1.63,NAN
2016-01-09,07:00:00,-13.01,-11.82,77.76,71.89,-16.32,7777,0.098,193.6,0.9,2.154,NAN
2016-01-09,08:00:00,-11.67,-10.91,72.2,68.96,-15.59,7777,0.096,-10.91,1.421,1.496,NAN
2016-01-09,09:00:00,-11.31,-11.03,73.92,71.26,-15.02,7777,0.098,354.5,0.379,1.446,NAN
2016-01-09,10:00:00,-11.51,-11.22,76.29,73.5,-14.8,7777,0.097,65.81,1.41,2.695,NAN
2016-01-09,11:00:00,-10.49,-10.17,71.9,69.25,-14.43,7777,0.097,76.51,1.39,3.048,NAN
2016-01-09,12:00:00,-4.37,-3.87,74.32,68.25,-9.21,7777,0.098,20.69,5.057,6.677,NAN
2016-01-09,13:00:00,-0.3,0.01,63.32,60.17,-6.22,0,0.099,54.18,8.96,8.96,NAN
2016-01-09,14:00:00,0.93,1.15,57.6,54.98,-6.48,0,0.089,17.01,12.64,14,NAN
2016-01-09,15:00:00,0.66,0.85,54.88,52.54,-7.43,0,0.099,41.01,8.83,15.58,NAN
2016-01-09,16:00:00,0.24,0.43,56.27,53.86,-7.62,0,0.097,52.43,9.8,15.45,NAN
2016-01-09,17:00:00,-0.37,-0.17,59.46,57.12,-7.35,0,0.099,31.95,14.42,15.72,NAN
2016-01-09,18:00:00,-0.76,-0.55,57.15,54.71,-8.31,0,0.099,37.35,5.824,13.91,NAN
2016-01-09,19:00:00,-1.4,-1.06,47.96,52.17,-11.91,7777,0.091,54.42,9.76,15.02,NAN
